year,mon,day,hour,minute,latitude,longitude
2020,08,04,02,34,70.57190833333334,23.154758333333334
2020,08,10,19,14,60.392783333333334,5.309853333333334
2020,08,03,13,34,69.64649833333333,18.960598333333333
2020,08,10,03,14,61.93966,5.131011666666667
2020,08,03,19,34,69.99924333333334,20.36224
2020,08,15,05,04,70.82444333333333,23.878148333333332
2020,08,05,12,44,70.11405,30.682805
2020,08,05,08,34,69.72888,30.071155
2020,08,03,01,04,68.65908,15.414028333333333
2020,08,13,08,54,66.96221166666666,13.517481666666667
2020,08,05,04,44,70.052485,29.754081666666668
2020,08,13,06,54,66.73620833333334,13.208528333333334
2020,08,05,03,04,70.19851166666666,30.82004
2020,08,08,12,04,65.75136666666667,12.298913333333333
2020,08,06,13,24,70.35449,22.301715
2020,08,07,04,54,68.95610166666667,17.096078333333335
2020,08,02,15,14,67.611555,14.291241666666666
2020,08,02,23,54,68.57136166666666,14.911095
2020,08,11,16,44,62.47847333333333,6.1521316666666666
2020,08,07,02,24,69.24585833333333,17.969741666666668
2020,08,08,23,14,64.31965333333333,9.923823333333333
2020,08,13,21,04,68.28599166666666,14.972516666666667
2020,08,02,14,24,67.40462833333333,14.44122
2020,08,13,20,44,68.21672,14.879048333333333
2020,08,04,05,44,70.91726833333334,24.18404333333333
2020,08,04,04,04,70.66509166666667,23.680413333333334
2020,08,07,18,24,68.23092166666666,14.566708333333333
2020,08,05,08,14,69.72887833333333,30.071148333333333
